scenario_id,name,category,database,volume,trial,time_ms
I3,Dodanie serialu z drzewem (Content+Season+Episode+ACTED_IN),INSERT,neo4j,small,1,51.815
I3,Dodanie serialu z drzewem (Content+Season+Episode+ACTED_IN),INSERT,neo4j,small,2,52.025
I3,Dodanie serialu z drzewem (Content+Season+Episode+ACTED_IN),INSERT,neo4j,small,3,44.66
I4,Batch insert wezlow Payment (1000),INSERT,neo4j,small,1,83.843
I4,Batch insert wezlow Payment (1000),INSERT,neo4j,small,2,99.167
I4,Batch insert wezlow Payment (1000),INSERT,neo4j,small,3,92.096
I5,Dodanie relacji RATED z przeliczeniem avg_rating,INSERT,neo4j,small,1,12.891
I5,Dodanie relacji RATED z przeliczeniem avg_rating,INSERT,neo4j,small,2,9.259
I5,Dodanie relacji RATED z przeliczeniem avg_rating,INSERT,neo4j,small,3,13.159
I6,Import Person z relacjami ACTED_IN (100 osob),INSERT,neo4j,small,1,16.136
I6,Import Person z relacjami ACTED_IN (100 osob),INSERT,neo4j,small,2,15.89
I6,Import Person z relacjami ACTED_IN (100 osob),INSERT,neo4j,small,3,18.409
S1,Strona glowna (filtrowanie + sortowanie),SELECT,neo4j,small,1,2.962
S1,Strona glowna (filtrowanie + sortowanie),SELECT,neo4j,small,2,2.332
S1,Strona glowna (filtrowanie + sortowanie),SELECT,neo4j,small,3,2.561
S2,Rekomendacje collaborative filtering (graph traversal),SELECT,neo4j,small,1,214.616
S2,Rekomendacje collaborative filtering (graph traversal),SELECT,neo4j,small,2,210.317
S2,Rekomendacje collaborative filtering (graph traversal),SELECT,neo4j,small,3,184.477
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,neo4j,small,1,26.507
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,neo4j,small,2,25.184
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,neo4j,small,3,24.538
S4,Wyszukiwanie po tytule (CONTAINS),SELECT,neo4j,small,1,2.441
S4,Wyszukiwanie po tytule (CONTAINS),SELECT,neo4j,small,2,2.032
S4,Wyszukiwanie po tytule (CONTAINS),SELECT,neo4j,small,3,2.081
S5,Historia ogladania profilu (50 ostatnich relacji WATCHED),SELECT,neo4j,small,1,4.085
S5,Historia ogladania profilu (50 ostatnich relacji WATCHED),SELECT,neo4j,small,2,3.293
S5,Historia ogladania profilu (50 ostatnich relacji WATCHED),SELECT,neo4j,small,3,3.192
S6,Filmografia osoby (ACTED_IN + DIRECTED + WROTE),SELECT,neo4j,small,1,1.824
S6,Filmografia osoby (ACTED_IN + DIRECTED + WROTE),SELECT,neo4j,small,2,1.396
S6,Filmografia osoby (ACTED_IN + DIRECTED + WROTE),SELECT,neo4j,small,3,1.442
U1,Aktualizacja postepu ogladania (rel WATCHED),UPDATE,neo4j,small,1,21.043
U1,Aktualizacja postepu ogladania (rel WATCHED),UPDATE,neo4j,small,2,2.757
U1,Aktualizacja postepu ogladania (rel WATCHED),UPDATE,neo4j,small,3,3.958
U2,Przeliczenie avg_rating (avg relacji RATED),UPDATE,neo4j,small,1,3.744
U2,Przeliczenie avg_rating (avg relacji RATED),UPDATE,neo4j,small,2,8.125
U2,Przeliczenie avg_rating (avg relacji RATED),UPDATE,neo4j,small,3,4.234
U3,Masowa zmiana planu subskrypcji (500 wezlow),UPDATE,neo4j,small,1,9.064
U3,Masowa zmiana planu subskrypcji (500 wezlow),UPDATE,neo4j,small,2,8.395
U3,Masowa zmiana planu subskrypcji (500 wezlow),UPDATE,neo4j,small,3,8.545
U4,Aktualizacja email uzytkownika,UPDATE,neo4j,small,1,4.15
U4,Aktualizacja email uzytkownika,UPDATE,neo4j,small,2,3.056
U4,Aktualizacja email uzytkownika,UPDATE,neo4j,small,3,2.914
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,neo4j,small,1,2.408
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,neo4j,small,2,2.97
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,neo4j,small,3,3.078
U6,Masowa aktualizacja popularity_score (formula),UPDATE,neo4j,small,1,8.127
U6,Masowa aktualizacja popularity_score (formula),UPDATE,neo4j,small,2,7.837
U6,Masowa aktualizacja popularity_score (formula),UPDATE,neo4j,small,3,7.854
D1,Usuniecie tresci z kaskada (DETACH DELETE + sezon/odcinki),DELETE,neo4j,small,1,6.129
D1,Usuniecie tresci z kaskada (DETACH DELETE + sezon/odcinki),DELETE,neo4j,small,2,8.106
D1,Usuniecie tresci z kaskada (DETACH DELETE + sezon/odcinki),DELETE,neo4j,small,3,6.158
D2,Usuniecie profilu z historia (DETACH DELETE Profile),DELETE,neo4j,small,1,6.271
D2,Usuniecie profilu z historia (DETACH DELETE Profile),DELETE,neo4j,small,2,2.295
D2,Usuniecie profilu z historia (DETACH DELETE Profile),DELETE,neo4j,small,3,6.049
D3,Czyszczenie starej historii (DELETE relacji WATCHED),DELETE,neo4j,small,1,28.122
D3,Czyszczenie starej historii (DELETE relacji WATCHED),DELETE,neo4j,small,2,28.035
D3,Czyszczenie starej historii (DELETE relacji WATCHED),DELETE,neo4j,small,3,27.937
D4,Usuniecie relacji ADDED_TO_LIST,DELETE,neo4j,small,1,4.037
D4,Usuniecie relacji ADDED_TO_LIST,DELETE,neo4j,small,2,4.468
D4,Usuniecie relacji ADDED_TO_LIST,DELETE,neo4j,small,3,6.123
D5,Usuniecie subskrypcji z platnosciami (DETACH DELETE),DELETE,neo4j,small,1,6.205
D5,Usuniecie subskrypcji z platnosciami (DETACH DELETE),DELETE,neo4j,small,2,3.783
D5,Usuniecie subskrypcji z platnosciami (DETACH DELETE),DELETE,neo4j,small,3,3.874
D6,Masowe usuniecie userow status=deleted,DELETE,neo4j,small,1,7.91
D6,Masowe usuniecie userow status=deleted,DELETE,neo4j,small,2,5.897
D6,Masowe usuniecie userow status=deleted,DELETE,neo4j,small,3,5.921
